,Date,Goal,Funds
241,2025-10-11 23:01:00-05:00,7000,2316
242,2025-10-12 00:01:00-05:00,7000,2316
243,2025-10-12 01:01:00-05:00,7000,2316
244,2025-10-12 02:01:00-05:00,7000,2316
245,2025-10-12 03:01:00-05:00,7000,2316
246,2025-10-12 04:01:00-05:00,7000,2385
247,2025-10-12 05:01:00-05:00,7000,2443
248,2025-10-12 06:01:00-05:00,7000,2443
249,2025-10-12 07:01:00-05:00,7000,2443
250,2025-10-12 08:01:00-05:00,7000,2443
251,2025-10-12 09:01:00-05:00,7000,2443
252,2025-10-12 10:01:00-05:00,7000,2443
253,2025-10-12 11:01:00-05:00,7000,2443
254,2025-10-12 12:01:00-05:00,7000,2443
255,2025-10-12 13:01:00-05:00,7000,2443
256,2025-10-12 14:01:00-05:00,7000,2443
257,2025-10-12 15:01:00-05:00,7000,2443
258,2025-10-12 16:01:00-05:00,7000,2443
259,2025-10-12 17:01:00-05:00,7000,2443
260,2025-10-12 18:01:00-05:00,7000,2443
261,2025-10-12 19:01:00-05:00,7000,2443
262,2025-10-12 20:01:00-05:00,7000,2443
263,2025-10-12 21:01:00-05:00,7000,2443
264,2025-10-12 22:01:00-05:00,7000,2443
265,2025-10-12 23:01:00-05:00,7000,2443
266,2025-10-13 00:01:00-05:00,7000,2445
267,2025-10-13 01:01:00-05:00,7000,2445
268,2025-10-13 02:01:00-05:00,7000,2445
269,2025-10-13 03:01:00-05:00,7000,2445
270,2025-10-13 04:01:00-05:00,7000,2566
271,2025-10-13 05:01:00-05:00,7000,2638
272,2025-10-13 06:01:00-05:00,7000,2638
273,2025-10-13 07:01:00-05:00,7000,2638
274,2025-10-13 08:01:00-05:00,7000,2638
275,2025-10-13 09:01:00-05:00,7000,2638
276,2025-10-13 10:01:00-05:00,7000,2638
277,2025-10-13 11:01:00-05:00,7000,2638
278,2025-10-13 12:01:00-05:00,7000,2648
279,2025-10-13 13:01:00-05:00,7000,2648
280,2025-10-13 14:01:00-05:00,7000,2648
281,2025-10-13 15:01:00-05:00,7000,2648
282,2025-10-13 16:01:00-05:00,7000,2653
283,2025-10-13 17:01:00-05:00,7000,2653
284,2025-10-13 18:01:00-05:00,7000,2658
285,2025-10-13 19:01:00-05:00,7000,2658
286,2025-10-13 20:01:00-05:00,7000,2658
287,2025-10-13 21:01:00-05:00,7000,2658
288,2025-10-13 22:01:00-05:00,7000,2658
289,2025-10-13 23:01:00-05:00,7000,2658
290,2025-10-14 00:01:00-05:00,7000,2658
291,2025-10-14 01:01:00-05:00,7000,2658
292,2025-10-14 02:01:00-05:00,7000,2658
293,2025-10-14 03:01:00-05:00,7000,2658
294,2025-10-14 04:01:00-05:00,7000,2691
295,2025-10-14 05:01:00-05:00,7000,2719
296,2025-10-14 06:01:00-05:00,7000,2719
297,2025-10-14 07:01:00-05:00,7000,2719
298,2025-10-14 08:01:00-05:00,7000,2719
299,2025-10-14 09:01:00-05:00,7000,2719
300,2025-10-14 10:01:00-05:00,7000,2719
301,2025-10-14 11:01:00-05:00,7000,2724
302,2025-10-14 12:01:00-05:00,7000,2724
303,2025-10-14 13:01:00-05:00,7000,2724
304,2025-10-14 14:01:00-05:00,7000,2724
305,2025-10-14 15:01:00-05:00,7000,2729
306,2025-10-14 16:01:00-05:00,7000,2734
307,2025-10-14 17:01:00-05:00,7000,2734
308,2025-10-14 18:01:00-05:00,7000,2734
309,2025-10-14 19:01:00-05:00,7000,2734
310,2025-10-14 20:01:00-05:00,7000,2734
